velocity_rank,video_id,title,channel,views,likes,comments,age_hours,views_per_hour,engagement_rate,velocity_score,trend_strength,trend_status,category
34,mFoaalFEt2E,FIRE V/S ICE ELEMENTAL IN RIVALS ROBLOX !!,Shivang Mini,135811,4801,4764,32.67731292444444,4156.1250863563455,0.0704287576116809,4448.835812667163,19.25,DECLINING,Gaming
35,ajbZlebglTc,315 | Sanjay Yaduvanshi | OFFICAIL VIDEO,Sanjay Sultanpuriya ,214835,14138,1197,53.45009070222223,4019.357070820987,0.0713803616729117,4306.260232228764,19.51,DECLINING,Other
36,2oOWoN8IAF0,TREAT ME SPECIAL | RAWME HOODA | MC SQUARE | OFFICIAL MUSIC VIDEO | DESI HIP HOP HARYANVI SONG,RAWme Hooda,180469,20021,1066,55.80814625777778,3233.739375008334,0.1168455524217455,3611.587438669133,30.99,DECLINING,Music
37,ODYYEFhFlNA,Saving All Famous Ben 10 Aliens From Scary Entities In Minecraft!!!,MrAlpha,106024,1446,78,33.80370181333333,3136.4612250301093,0.0143741039764581,3181.5450447968215,4.53,DECLINING,Gaming
38,87uSIcSLymQ,Khalifa Trailer Reaction | Prithviraj Sukumaran | Vysakh | Malayalam,LifeofShazzam,304791,15283,710,111.17842403555557,2741.458179894023,0.0524720218116676,2885.308033305197,14.36,DECLINING,Movies & Entertainment
39,OFYTBT0xcq8,Kitni Bechain Hoke - (Lyrical) | Alka Yagnik | Udit Narayan | Aftab Shivdasani | Romantic Song,Y2K Bollywood Hits,350629,345,3,125.90425736888888,2784.8859707157203,0.0009925020463224,2787.6499757404304,1.15,DECLINING,Music
40,2I_SZq_vkHg,I Become Spiderman to Troll Friends in Roblox..,Karry Mini,83824,1577,146,32.16036848,2606.4377978793605,0.0205549723229623,2660.0130546762935,5.97,DECLINING,Gaming
41,J6Q8LEsgqQY,Aaj Kehna Zaroori Hai | Andaaz | Akshay Kumar | Lara Dutta | Udit Narayan | Alka Yagnik,DilSe Beats,249059,244,2,133.30536848,1868.334357722185,0.000987717769685,1870.1797447670203,0.86,DECLINING,Other
42,_NX9_GeYWJY,VIDEO | गोली चोली पर चलतौ - Rajeev Yadav - Khushi Kakkar - Goli Choli Par Chaltau - Magahi Song 2026,Bhojpuri Ganna Hits - Apex,184778,582,3,109.29564625777778,1690.625439591567,0.003165961315741,1695.977894332722,1.34,DECLINING,Music
43,Ol6pxDh51F4,Things you MISSED in Avengers Doomsday Special Look Trailer (தமிழ்),Mokka Commentry,135098,9497,441,85.80231292444445,1574.5263198087002,0.0735614146767531,1690.3507033396102,19.38,DECLINING,Movies & Entertainment
44,cro9lotnsAk,Pucho Zara Pucho | Raja Hindustani | Aamir Khan | Karisma Kapoor | Alka Yagnik | Kumar Sanu,HindiHits24,204071,571,7,125.66731292444445,1623.8988106851189,0.0028323475653081,1628.49825652787,1.25,DECLINING,Other
45,LJVUBqU_8gc,शिव गौरा भजन | गौरा रूठ गई पीहर चली गई | Gora Ruth Gayi Pihar Chali Gayi | Shiv Gaura Bhajan #2026,Editor Ramsingh jaitpur 🎵,118599,747,4,89.55564625777778,1324.3051103514297,0.0063322624979974,1332.6909579376145,2.02,DECLINING,Other
46,DOjv2xcgsqk,"ଦଣ୍ଡକାଳୀ | Dandakali | Official Teaser | New Odia Movie | Sidhant Mohapatra, Suryamayee",Amara Muzik Odia,45301,2845,232,55.80703514666667,811.7435352181724,0.0679234453985563,866.8799529101949,17.68,DECLINING,Movies & Entertainment
47,B9WysQte-Bs,"MANJAR | Official Teaser | Siddharth Menon, Onkar Bhojane, Tejas Raut | In Cinemas 18th Sept 2026",Rajshri Marathi,45068,914,76,60.62203514666667,743.4260478217892,0.0219668057158072,759.756743378361,5.85,DECLINING,Other
48,PZEtSHXpDiY,"Film Talk | Jailer 2 - 1st Song SAMBAVAM, Dharman, TOXIC, HI Trailer | Today's Update",Trendswood Tv,28711,2158,35,51.52675736888889,557.2056435543387,0.0763818745428581,599.7660551148788,19.77,DECLINING,Music
49,psuDntKA8Jw,Toxic English Trailer ನೋಡಿದ್ಮೇಲೆ ರಾಯನ ಅಪ್ಪ ಯಾರು ಅಂತ ಗೊತ್ತಾಯ್ತಾ? | Yash | Toxic | Allu Arvind,Vishwavani TV Special,13581,738,85,34.14175736888889,397.78268743645464,0.0605993667623886,421.8880664041449,15.67,DECLINING,Movies & Entertainment
