video_id,title,channel,published_at,views,likes,comments,engagement_rate,trend_score,trend_rank
X1aFkAkFASk,Avengers: Doomsday | Special Look | In Theaters December 18,Marvel Entertainment,2026-08-15 04:06:21+00:00,31355626,1295618,57396,0.04315059759929526,19145889.499999996,1
rbQEoVzHNSE,"Prem Keetanu | Official Teaser |Veer, Aparshakti, Aafiya, Nikhil, Rakesh B, Apoorv| In Cinemas 2 Oct",Avanika Films,2026-08-17 06:25:03+00:00,10382367,3072,218,0.0003168834235969505,6230220.9,2
QnQnz9G2LNw,MALLEPOOLA PALLAKI (Song) | Ravi Teja | GV Prakash | Dappu Srinu | Shiva Nirvana | Irumudi,T-Series Telugu,2026-08-16 14:33:24+00:00,8289412,178581,4802,0.022122558270719322,5019012.75,3
SQ4jZ-EAL88,Vaaroon Forever (Official Video) | Mirzapur The Movie | Shreya Ghoshal | Romy | Anand B | Ginny D,Excel Movies,2026-08-18 08:26:50+00:00,7639686,86729,2159,0.011635033167593537,4605817.699999999,4
8NiMCt2o-uQ,Khalifa Trailer - Prithviraj Sukumaran | Vysakh | Jinu V Abhraham | Jakes Bejoy,Sony Music Malayalam,2026-08-16 15:02:40+00:00,4002981,101135,5142,0.0265494640119451,2427843.65,5
rkV7--wYUJ8,"Toh Phir Aao - New Version | Lyric Video | Awarapan 2 | Emraan | Mithoon, Mustafa, Sayeed, Subodhh",Sony Music India,2026-08-17 10:48:13+00:00,2912054,45624,2081,0.01638190775308425,1758950.5499999998,6
ZYIWPnkXz5o,Dhanda Nyoliwala - Panamera (Official Music Video),Dhanda Nyoliwala,2026-08-17 05:30:07+00:00,1611793,100046,5117,0.06524597141196171,992854.85,7
ZBFzUSdS2nI,BiiiG,BIGBANG - Topic,2026-08-19 09:02:58+00:00,1280382,39351,2365,0.032580901637167654,778421.7,8
oi2QgPH61JM,Black Myth: Zhong Kui – 15 Minutes Gameplay Trailer,Black Myth,2026-08-20 02:00:24+00:00,1079772,81888,9001,0.08417425160126397,669685.35,9
GZ0Nu2CVZb4,I Became a GIRL & PRANKED Girl Streamers,SATVIK,2026-08-18 11:31:50+00:00,956602,26444,2461,0.030216328211732778,580941.35,10
7KpwlP7SFnw,Allah Kare Dil Na Lage (Official Full Video) | Andaaz | Akshay & Priyanka | Sonu Nigam | Alka Yagnik,Shree Krishna International,2026-08-16 12:30:02+00:00,933120,2917,33,0.003161436899862826,560606.2,11
kwkPGYJkzek,🔴LIVE GTA 5 GAMEPLAY | RAAJOO GAMING,Raajoo Gaming,2026-08-20 01:54:06+00:00,837196,3116,0,0.0037219480265075324,503096.6,12
YhlT3olnrbQ,GTA 5 LIVE  #gta5 #gtav #gaming,PAJI IS LIVE,2026-08-20 03:26:37+00:00,826586,2948,0,0.003566477051389692,496688.6,13
xc6t43BS2Dk,We Faked Our Death in Minecraft..,Carry Depie,2026-08-19 12:00:16+00:00,779520,14336,772,0.01938115763546798,471411.8,14
2yN3TXF0DZY,AAJ BANAUNGA 50 STREAK ⭐🚀GO FOR 300K ?,DEVBRAT LIVE,2026-08-19 19:50:33+00:00,777004,8425,1,0.010844217018187809,468308.8,15
L-Az6_o6yJw,I MADE EVERY GOD ARMOUR IN MINECRAFT😱| Fleet Kingdom,Anshu Bisht,2026-08-19 07:30:34+00:00,756991,51406,3968,0.0731501431324811,467641.3,16
LxtmRwUX0rs,"Aap Ke Pyaar Mein Hum Savarne Lage | Raaz | Dino Morea, Malini Sharma, Alka Yagnik",Bollywood Music Masala,2026-08-17 12:45:35+00:00,741808,2124,25,0.002896976036925997,445619.55,17
Wr-nh-9KdxU,Carry vs FRIENDS STATUE Chunk Battle In Minecraft!,Karry Kraft,2026-08-19 07:24:36+00:00,695277,9196,434,0.013850594798907486,419530.3,18
7vcOx7lXK7s,I am cooked... | Last Pirates,ProBoii,2026-08-18 15:04:37+00:00,680756,25557,2065,0.04057547785109496,415152.6,19
OblfDuD_oN4,Family Drama - Trailer l Gibin Gopinath l Anjali Nair l Annie N Rose l Aneesh JL l Chattambees,Chattambees,2026-08-18 13:37:33+00:00,508726,29493,1869,0.06164811706105055,312889.19999999995,20
A14bHx6l5CA,Keralanaadu | I-POPSTAR | EP 11 | Priya Jerson | Vijay Narain,Saregama Tamil,2026-08-18 05:28:07+00:00,452762,17806,371,0.0401469204571055,276164.35000000003,21
WebDvdCLdd8,#Video | Case लिहS तू लड़ | #Raushan Rohi & #Srishti Bharti | #Maghi #Rangdari Song 2026,Raushan Rohi Entertainment,2026-08-19 01:00:01+00:00,410380,25230,1751,0.06574638140260247,252798.15,22
HvJ7DePAIMs,NO MORE POOPY BUSINESS | Shift At Midnight - Part 4,BeastBoyShub,2026-08-19 09:00:38+00:00,388848,27880,2223,0.07741585400979303,240612.25,23
NP5ebSjn-_I,"Mahakavya Shri Ramayan Katha | Teaser | Dev Sharma, Anjali Arora | Mahobiya Films | 25th Sept 2026",M SERIES,2026-08-18 10:22:54+00:00,390249,6145,3747,0.025347918892809462,236247.69999999998,24
IjHYUAJnsgQ,VERITY vs SECURITY HOUSE in Minecraft!,Junkeyy,2026-08-19 14:19:32+00:00,361997,7699,622,0.02298637834015199,219216.24999999997,25
OFYTBT0xcq8,Kitni Bechain Hoke - (Lyrical) | Alka Yagnik | Udit Narayan | Aftab Shivdasani | Romantic Song,Y2K Bollywood Hits,2026-08-16 12:24:16+00:00,350629,345,3,0.0009925020463224662,210464.1,26
87uSIcSLymQ,Khalifa Trailer Reaction | Prithviraj Sukumaran | Vysakh | Malayalam,LifeofShazzam,2026-08-17 03:07:49+00:00,304791,15283,710,0.052472021811667664,186801.85,27
wQAXX0y86Ko,Toxic English Trailer Review | Yogi Bolta Hai,YOGI BOLTA HAI,2026-08-20 03:15:57+00:00,301540,12384,353,0.04223983551104331,184072.95,28
NPI5-d55lYM,Maadhia ra Sasura Ghara || Trailer || Maadhia Comedy,utkal cartoonworld,2026-08-19 01:30:03+00:00,297336,9668,97,0.03284163370732101,180833.15,29
7o3HZeYIJaA,LEGACY EP 10 | THE SOUNDS OF INDIA | @raftaarmusic x @KRSNAOfficial,Kalamkaar,2026-08-20 06:30:01+00:00,251790,21411,1998,0.09297033241987371,156726.45,30
yNydA8kTUOk,Toxic English Trailer REVIEW | Deeksha Sharma,Filmi Indian,2026-08-19 16:54:16+00:00,248692,11329,1139,0.050134302671577695,152218.3,31
J6Q8LEsgqQY,Aaj Kehna Zaroori Hai | Andaaz | Akshay Kumar | Lara Dutta | Udit Narayan | Alka Yagnik,DilSe Beats,2026-08-16 05:00:12+00:00,249059,244,2,0.0009877177696850947,149496.69999999998,32
ajbZlebglTc,315 | Sanjay Yaduvanshi | OFFICAIL VIDEO,Sanjay Sultanpuriya ,2026-08-19 12:51:31+00:00,214835,14138,1197,0.07138036167291177,132615.05,33
ac9wmAnwep8,🔴LIVE GTA 5 GAMEPLAY | #gta5 #gtav #gaming,SANGU IS LIVE,2026-08-20 11:14:12+00:00,217220,809,2,0.003733542031120523,130534.55,34
cro9lotnsAk,Pucho Zara Pucho | Raja Hindustani | Aamir Khan | Karisma Kapoor | Alka Yagnik | Kumar Sanu,HindiHits24,2026-08-16 12:38:29+00:00,204071,571,7,0.0028323475653081525,122586.4,35
ww1JSKw1XZc,GTA 5 LIVE #gta5 #gtav #gaming,HR20 GamerZ,2026-08-20 11:17:59+00:00,196987,1312,0,0.006660337991847178,118520.2,36
2oOWoN8IAF0,TREAT ME SPECIAL | RAWME HOODA | MC SQUARE | OFFICIAL MUSIC VIDEO | DESI HIP HOP HARYANVI SONG,RAWme Hooda,2026-08-19 10:30:02+00:00,180469,20021,1066,0.11684555242174556,113446.54999999999,37
_NX9_GeYWJY,VIDEO | गोली चोली पर चलतौ - Rajeev Yadav - Khushi Kakkar - Goli Choli Par Chaltau - Magahi Song 2026,Bhojpuri Ganna Hits - Apex,2026-08-17 05:00:47+00:00,184778,582,3,0.0031659613157410515,111012.75,38
-Ku-mjcgUyY,THE RAILWAY CHAI WALA 😱| INDIAN HORROR GAME,NotGamerFleet,2026-08-20 07:30:21+00:00,163538,13507,1156,0.08966111851679733,101672.95,39
ZPmRTeh6izw,Franklin Found A Giant Mysterious Footprint In Rain In GTA 5 ! (GTA 5 Mods),Flight Gamer,2026-08-20 07:30:19+00:00,150153,4707,271,0.0331528507588926,91309.2,40
Ol6pxDh51F4,Things you MISSED in Avengers Doomsday Special Look Trailer (தமிழ்),Mokka Commentry,2026-08-18 04:30:23+00:00,135098,9497,441,0.07356141467675317,83499.2,41
mFoaalFEt2E,FIRE V/S ICE ELEMENTAL IN RIVALS ROBLOX !!,Shivang Mini,2026-08-20 09:37:53+00:00,135811,4801,4764,0.07042875761168094,83401.45,42
LJVUBqU_8gc,शिव गौरा भजन | गौरा रूठ गई पीहर चली गई | Gora Ruth Gayi Pihar Chali Gayi | Shiv Gaura Bhajan #2026,Editor Ramsingh jaitpur 🎵,2026-08-18 00:45:11+00:00,118599,747,4,0.006332262497997454,71346.75,43
ODYYEFhFlNA,Saving All Famous Ben 10 Aliens From Scary Entities In Minecraft!!!,MrAlpha,2026-08-20 08:30:18+00:00,106024,1446,78,0.01437410397645816,63987.59999999999,44
2I_SZq_vkHg,I Become Spiderman to Troll Friends in Roblox..,Karry Mini,2026-08-20 10:08:54+00:00,83824,1577,146,0.020554972322962398,50710.55,45
DOjv2xcgsqk,"ଦଣ୍ଡକାଳୀ | Dandakali | Official Teaser | New Odia Movie | Sidhant Mohapatra, Suryamayee",Amara Muzik Odia,2026-08-19 10:30:06+00:00,45301,2845,232,0.06792344539855633,27926.649999999998,46
B9WysQte-Bs,"MANJAR | Official Teaser | Siddharth Menon, Onkar Bhojane, Tejas Raut | In Cinemas 18th Sept 2026",Rajshri Marathi,2026-08-19 05:41:12+00:00,45068,914,76,0.021966805715807225,27280.7,47
